,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,post_rank_random_all,post_rank_random_upper,post_rank_pop_all,post_rank_pop_upper,post_rank_diff_all,post_rank_diff_upper,critiqued_keyphrase_random,keyphrase_name_random,critiqued_keyphrase_pop,keyphrase_name_pop,critiqued_keyphrase_diff,keyphrase_name_diff,num_existing_keyphrases,pure_pruning_rank
0,300,101,b'Cabin Fever',0,4830,b'Sansotei Ramen',"[4830, 4739, 4610, 4486, 4284, 3670, 3412, 3168, 2935, 2735, 2576]","[6831, 6828, 6810, 6804, 6781, 903, 872, 841, 809, 760, 727]","[4830, 4870, 4919, 4942, 4934, 4890, 4815, 4680, 4561, 4425, 4334]","[7062, 7062, 7064, 7074, 7079, 7070, 7047, 7025, 7015, 7006, 6989]","[4830, 4773, 4694, 4577, 4428, 3891, 3663, 3471, 3192, 2984, 2805]","[5839, 5837, 5825, 5784, 5754, 2316, 2223, 2167, 2032, 1943, 1846]",105,latte,155,refill,53,tea,,4830
1,300,101,b'Cabin Fever',1,4830,b'Sansotei Ramen',"[4830, 4870, 4919, 4942, 4934, 4890, 4815, 4680, 4561, 4425, 4334]","[7062, 7062, 7064, 7074, 7079, 7070, 7047, 7025, 7015, 7006, 6989]","[4830, 4739, 4610, 4486, 4284, 3670, 3412, 3168, 2935, 2735, 2576]","[6831, 6828, 6810, 6804, 6781, 903, 872, 841, 809, 760, 727]","[4830, 4818, 4805, 4773, 4722, 4663, 4565, 4447, 3824, 3419, 3001]","[5669, 5674, 5673, 5662, 5635, 5625, 5578, 5539, 2697, 2469, 2211]",155,refill,105,latte,153,friendly,,4830
2,300,101,b'Cabin Fever',2,4830,b'Sansotei Ramen',"[4830, 4720, 4589, 4394, 3757, 3473, 3180, 2864, 2579, 2399, 2254]","[6685, 6671, 6655, 6630, 1151, 1109, 1060, 1000, 928, 876, 834]","[4830, 4720, 4589, 4394, 3757, 3473, 3180, 2864, 2579, 2399, 2254]","[6685, 6671, 6655, 6630, 1151, 1109, 1060, 1000, 928, 876, 834]","[4830, 4739, 4610, 4486, 4284, 3670, 3412, 3168, 2935, 2735, 2576]","[6831, 6828, 6810, 6804, 6781, 903, 872, 841, 809, 760, 727]",37,bread,37,bread,105,latte,,4830
3,300,886,b'Wok & Roast Chinese BBQ',0,3515,b'Sansotei Ramen',"[3515, 3367, 3220, 3076, 2921, 2733, 2551, 2397, 2261, 2141, 2070]","[1020, 1003, 996, 977, 964, 927, 901, 874, 850, 821, 789]","[3515, 2877, 2365, 2086, 1917, 1813, 1747, 1711, 1696, 1672, 1657]","[26, 29, 31, 30, 30, 31, 32, 33, 33, 33, 32]","[3515, 3498, 3524, 3569, 3607, 3668, 4028, 4014, 3973, 3894, 3871]","[498, 506, 508, 530, 533, 543, 7069, 7052, 7030, 7028, 7015]",46,fish,223,general tao,27,bbq,,2442
4,300,886,b'Wok & Roast Chinese BBQ',1,3515,b'Sansotei Ramen',"[3515, 4382, 4970, 5417, 5776, 5975, 6115, 6179, 6172, 6162, 6138]","[463, 7012, 7093, 7147, 7187, 7209, 7229, 7237, 7242, 7239, 7237]","[3515, 2822, 2360, 2019, 1796, 1669, 1590, 1517, 1484, 1449, 1430]","[108, 115, 124, 128, 125, 123, 121, 118, 121, 120, 120]","[3515, 3295, 3097, 2881, 2652, 2434, 2226, 2067, 1964, 1888, 1840]","[553, 561, 574, 595, 597, 609, 621, 614, 615, 614, 620]",15,takeout,73,congee,0,chinese,,2442
5,300,886,b'Wok & Roast Chinese BBQ',2,3515,b'Sansotei Ramen',"[3515, 4840, 5647, 6197, 6545, 6819, 6952, 7016, 7058, 7073, 7062]","[689, 6953, 7058, 7147, 7203, 7261, 7293, 7302, 7312, 7313, 7310]","[3515, 4422, 5016, 5376, 5627, 5740, 5802, 5807, 5797, 5780, 5763]","[267, 7254, 7271, 7277, 7297, 7305, 7308, 7305, 7302, 7300, 7294]","[3515, 4296, 4779, 5282, 5649, 5981, 6191, 6316, 6354, 6352, 6313]","[1197, 6491, 6581, 6710, 6795, 6877, 6942, 6969, 6971, 6952, 6928]",171,fancy,60,squid,5,fried,,2442
6,300,886,b'Wok & Roast Chinese BBQ',3,3515,b'Sansotei Ramen',"[3515, 3055, 2655, 2327, 2003, 1721, 1529, 1395, 1330, 1321, 1325]","[300, 286, 280, 285, 276, 272, 257, 253, 243, 244, 242]","[3515, 3340, 3194, 3055, 2902, 2751, 2616, 2525, 2457, 2429, 2444]","[255, 238, 234, 238, 235, 237, 245, 236, 230, 229, 233]","[3515, 3340, 3194, 3055, 2902, 2751, 2616, 2525, 2457, 2429, 2444]","[255, 238, 234, 238, 235, 237, 245, 236, 230, 229, 233]",115,lobster,133,fried rice,133,fried rice,,2442
7,300,886,b'Wok & Roast Chinese BBQ',4,3515,b'Sansotei Ramen',"[3515, 4422, 5016, 5376, 5627, 5740, 5802, 5807, 5797, 5780, 5763]","[267, 7254, 7271, 7277, 7297, 7305, 7308, 7305, 7302, 7300, 7294]","[3515, 4382, 4970, 5417, 5776, 5975, 6115, 6179, 6172, 6162, 6138]","[463, 7012, 7093, 7147, 7187, 7209, 7229, 7237, 7242, 7239, 7237]","[3515, 4422, 5016, 5376, 5627, 5740, 5802, 5807, 5797, 5780, 5763]","[267, 7254, 7271, 7277, 7297, 7305, 7308, 7305, 7302, 7300, 7294]",60,squid,15,takeout,60,squid,,2442
8,300,886,b'Wok & Roast Chinese BBQ',5,3515,b'Sansotei Ramen',"[3515, 3364, 3166, 2981, 2744, 2530, 2358, 2215, 2122, 2085, 2058]","[800, 784, 761, 735, 712, 675, 648, 621, 589, 588, 579]","[3515, 4861, 5639, 6199, 6511, 6652, 6711, 6718, 6714, 6678, 6639]","[492, 7087, 7148, 7213, 7246, 7269, 7269, 7266, 7267, 7261, 7255]","[3515, 2822, 2360, 2019, 1796, 1669, 1590, 1517, 1484, 1449, 1430]","[108, 115, 124, 128, 125, 123, 121, 118, 121, 120, 120]",215,sour,81,juice,73,congee,,2442
9,300,886,b'Wok & Roast Chinese BBQ',6,3515,b'Sansotei Ramen',"[3515, 3520, 3524, 3549, 3621, 4031, 4103, 4148, 4173, 4147, 4102]","[1217, 1220, 1216, 1227, 1236, 6502, 6500, 6479, 6468, 6425, 6387]","[3515, 3055, 2655, 2327, 2003, 1721, 1529, 1395, 1330, 1321, 1325]","[300, 286, 280, 285, 276, 272, 257, 253, 243, 244, 242]","[3515, 2881, 2295, 1753, 1314, 983, 730, 535, 443, 374, 347]","[1173, 1049, 930, 789, 649, 522, 425, 334, 296, 254, 238]",184,reasonable,115,lobster,52,beef,,2442
